"","Date","Count"
"152",2017-11-30,271
"24",2017-12-01,317
"58",2017-12-02,269
"176",2017-12-03,247
"105",2017-12-04,270
"210",2017-12-05,283
"96",2017-12-06,299
"114",2017-12-07,271
"5",2017-12-08,282
"170",2017-12-09,260
"130",2017-12-10,201
"207",2017-12-11,226
"15",2017-12-12,271
"157",2017-12-13,231
"100",2017-12-14,240
"12",2017-12-15,298
"147",2017-12-16,241
"183",2017-12-17,216
"73",2017-12-18,238
"102",2017-12-19,256
"84",2017-12-20,284
"90",2017-12-21,253
"127",2017-12-22,218
"98",2017-12-23,219
"89",2017-12-24,204
"57",2017-12-25,140
"167",2017-12-26,214
"164",2017-12-27,211
"97",2017-12-28,217
"111",2017-12-29,227
"153",2017-12-30,206
"35",2017-12-31,226
"736",2018-01-01,273
"1064",2018-01-02,217
"1094",2018-01-03,263
"816",2018-01-04,214
"996",2018-01-05,202
"1005",2018-01-06,224
"952",2018-01-07,208
"1092",2018-01-08,279
"977",2018-01-09,296
"990",2018-01-10,284
"1082",2018-01-11,293
"829",2018-01-12,322
"834",2018-01-13,286
"1035",2018-01-14,210
"1091",2018-01-15,245
"911",2018-01-16,241
"920",2018-01-17,281
"1078",2018-01-18,229
"1084",2018-01-19,252
"1081",2018-01-20,251
"1074",2018-01-21,223
"1095",2018-01-22,239
"1051",2018-01-23,272
"1079",2018-01-24,229
"843",2018-01-25,242
"1053",2018-01-26,300
"1076",2018-01-27,255
"883",2018-01-28,245
"1096",2018-01-29,285
"1085",2018-01-30,259
"889",2018-01-31,227
"798",2018-02-01,288
"960",2018-02-02,254
"891",2018-02-03,218
"1090",2018-02-04,216
"1036",2018-02-05,270
"1088",2018-02-06,260
"1025",2018-02-07,206
"1087",2018-02-08,290
"1032",2018-02-09,233
"1018",2018-02-10,253
"1093",2018-02-11,206
"803",2018-02-12,264
"794",2018-02-13,229
"1069",2018-02-14,259
"993",2018-02-15,301
"1026",2018-02-16,267
"1089",2018-02-17,255
"1028",2018-02-18,190
"989",2018-02-19,217
"1086",2018-02-20,274
"1070",2018-02-21,307
"980",2018-02-22,193
"1072",2018-02-23,277
"1037",2018-02-24,265
"1029",2018-02-25,207
"1068",2018-02-26,272
"992",2018-02-27,257
"750",2018-02-28,264
"772",2018-03-01,277
"1057",2018-03-02,276
"769",2018-03-03,226
"806",2018-03-04,225
"1058",2018-03-05,217
"733",2018-03-06,263
"1083",2018-03-07,236
"866",2018-03-08,255
"1016",2018-03-09,290
"1073",2018-03-10,263
"961",2018-03-11,178
"1075",2018-03-12,259
"854",2018-03-13,237
